@type,accessLevel,bureauCode,dataQuality,description,identifier,issued,keyword,license,modified,programCode,theme,title,landingPage,accrualPeriodicity,language,temporal,describedBy,references,isPartOf,describedByType,systemOfRecords,rights,conformsTo,contactPoint_fn,contactPoint_hasEmail,publisher_@type,publisher_name,distribution_@type,distribution_downloadURL,distribution_mediaType,distribution_format,distribution_description,distribution_title,distribution_accessURL,distribution_accessURL_format,link_status_20171202,url
dcat:Dataset,public,029:00,TRUE,"This dataset provide a count of Veteran by their religious affiliation and state of residence. The dataset set covers all 50 states, District of Columbia and other territories.",4b94ff43-3b72-4cd5-9894-ccfe8fc58716,2017-08-16,Religion; veterans,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-16,029:086,Socioeconomics,Veteran Religious Affiliation by State,,,,,,,,,,,,NCVAS Mailbox,mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,https://www.data.va.gov/sites/default/files/NCVAS%20Religion%20by%20State.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,"<p>This dataset provide a count of Veteran by their religious affiliation and state of residence. The dataset set covers all 50 states, District of Columbia and other territories.</p>
",NCVAS Religion By State,,,Success: (200) OK,https://www.data.va.gov/sites/default/files/NCVAS%20Religion%20by%20State.xlsx
dcat:Dataset,public,029:00,TRUE,"This spreadsheet contains data from the 2015 American Community Survey and shows the demographic and socioeconomic characteristics of Veterans who live in rural and urban areas.  The spreadsheet includes variables like:  raw numbers, unemployment rate, disability rate, median personal income, age groups, period of service and other variables.",0950b2ee-a159-4321-a420-3ca83113993b,2017-08-15,Rural Veterans; veterans,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-15,029:086,,Rural Veterans by State (2015),,,,,,,,,,,,Rural Veterans by State (2015),mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,https://www.data.va.gov/sites/default/files/Rural_Urban%20Veterans%20by%20State%202015.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,,Rural Veterans by State (2015),,,Success: (200) OK,https://www.data.va.gov/sites/default/files/Rural_Urban%20Veterans%20by%20State%202015.xlsx
dcat:Dataset,public,029:00,TRUE,The Profile of Vietnam War Veterans uses the 2015 ACS to provide a view into the demographic characteristics and socioeconomic conditions of the Vietnam War Veteran cohort.,00902738-f6f0-4fe7-8aa5-ed697c66b9a5,2017-08-15,veterans; vietnam,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-15,029:086,,Profile of Vietnam War Veterans (2015).,,,,,,,,,,,,NCVAS Mailbox,mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,pdf,,Profile of Vietnam War Veterans: 2015,https://www1.va.gov/vetdata/docs/SpecialReports/Vietnam_Vet_Profile_Final.pdf,pdf,"Could not resolve host: www1.va.gov
",https://www.va.gov/vetdata/docs/SpecialReports/Vietnam_Vet_Profile_Final.pdf
dcat:Dataset,public,029:00,TRUE,"This report details VA expenditures at the state, county, and Congressional District level. It includes categories such as Compensation and Pension, Construction, Insurance, and Medical Care. Veteran population estimates and the number of unique patients who used VA health care services are also included.",990a9c91-2375-4c36-8a7a-b2ff33d38ed4,2017-08-15,GDX; veterans,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-15,029:086,,Geographic Distribution of VA Expenditures (GDX FY 2016),,,,,,,,,,,,NCVAS Mailbox,mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,http://www.va.gov/vetdata/docs/GDX/GDX_FY16.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx,,GDX FY 2016,,,Success: (200) OK,http://www.va.gov/vetdata/docs/GDX/GDX_FY16.xlsx
dcat:Dataset,public,029:00,TRUE,"This spreadsheet contains data for Total Enrollees, Outpatient Visits, and Inpatient Admissions from FY 2002 to FY 2015.",56a0a0a8-27af-49a6-b373-50798755e0f8,2017-08-15,healthcare; veteran,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-15,029:086,,Veterans Health Administration Characteristics: FY2002 to FY2015,,,,,,,,,,,,NCVAS mailbox,mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,xlsx,,Veterans Health Administration Characteristics: FY2002 to FY2015,https://www1.va.gov/vetdata/docs/Utilization/VHAStats_2015.xlsx,xlsx,"Could not resolve host: www1.va.gov
",https://www.va.gov/vetdata/docs/Utilization/VHAStats_2015.xlsx
dcat:Dataset,public,029:00,TRUE,"Veteran Population Model 2016 (VetPop2016) projects Veteran population by different characteristics from 2015 to 2015.  The characteristics are: age, gender, geographic areas (county, congressional district, state, and nation), period of service, branch of service, rank, and race/ethnicity.  VetPop is updated every two to three years to incorporate the new Veterans data and revised assumptions about the future trends.",56984fdf-7106-4767-995c-e20c45f7aaba,2017-08-15,veteran population,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-15,029:086,,VetPop2016,,,,,,,,,,,,NCVAS Mailbox,mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,xlsx,,Nation Period Served,https://www1.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/2L_VetPop2016_POS_National.xlsx,xlsx,"Could not resolve host: www1.va.gov
",https://www.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/2L_VetPop2016_POS_National.xlsx
dcat:Dataset,public,029:00,TRUE,"Veteran Population Model 2016 (VetPop2016) projects Veteran population by different characteristics from 2015 to 2015.  The characteristics are: age, gender, geographic areas (county, congressional district, state, and nation), period of service, branch of service, rank, and race/ethnicity.  VetPop is updated every two to three years to incorporate the new Veterans data and revised assumptions about the future trends.",56984fdf-7106-4767-995c-e20c45f7aaba,2017-08-15,veteran population,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-15,029:086,,VetPop2016,,,,,,,,,,,,NCVAS Mailbox,mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,xlsx,,Nation Race/Ethnicity,https://www1.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/3L_VetPop2016_Race_Ethnicity_National.xlsx,xlsx,"Could not resolve host: www1.va.gov
",https://www.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/3L_VetPop2016_Race_Ethnicity_National.xlsx
dcat:Dataset,public,029:00,TRUE,"Veteran Population Model 2016 (VetPop2016) projects Veteran population by different characteristics from 2015 to 2015.  The characteristics are: age, gender, geographic areas (county, congressional district, state, and nation), period of service, branch of service, rank, and race/ethnicity.  VetPop is updated every two to three years to incorporate the new Veterans data and revised assumptions about the future trends.",56984fdf-7106-4767-995c-e20c45f7aaba,2017-08-15,veteran population,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-15,029:086,,VetPop2016,,,,,,,,,,,,NCVAS Mailbox,mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,xlsx,,Nation Age/Gender,https://www1.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/1L_VetPop2016_National.xlsx,xlsx,"Could not resolve host: www1.va.gov
",https://www.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/1L_VetPop2016_National.xlsx
dcat:Dataset,public,029:00,TRUE,"Veteran Population Model 2016 (VetPop2016) projects Veteran population by different characteristics from 2015 to 2015.  The characteristics are: age, gender, geographic areas (county, congressional district, state, and nation), period of service, branch of service, rank, and race/ethnicity.  VetPop is updated every two to three years to incorporate the new Veterans data and revised assumptions about the future trends.",56984fdf-7106-4767-995c-e20c45f7aaba,2017-08-15,veteran population,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-15,029:086,,VetPop2016,,,,,,,,,,,,NCVAS Mailbox,mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,xlsx,,Nation Branch of Service,https://www1.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/4L_VetPop2016_Branch_National.xlsx,xlsx,"Could not resolve host: www1.va.gov
",https://www.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/4L_VetPop2016_Branch_National.xlsx
dcat:Dataset,public,029:00,TRUE,"Veteran Population Model 2016 (VetPop2016) projects Veteran population by different characteristics from 2015 to 2015.  The characteristics are: age, gender, geographic areas (county, congressional district, state, and nation), period of service, branch of service, rank, and race/ethnicity.  VetPop is updated every two to three years to incorporate the new Veterans data and revised assumptions about the future trends.",56984fdf-7106-4767-995c-e20c45f7aaba,2017-08-15,veteran population,https://creativecommons.org/publicdomain/zero/1.0/,2017-08-15,029:086,,VetPop2016,,,,,,,,,,,,NCVAS Mailbox,mailto:vancvas@va.gov,org:Organization,Department of Veterans Affairs,dcat:Distribution,,,xlsx,,Nation Officer/Enlisted,https://www1.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/5L_VetPop2016_Rank_National.xlsx,xlsx,"Could not resolve host: www1.va.gov
",https://www.va.gov/vetdata/docs/Demographics/New_Vetpop_Model/5L_VetPop2016_Rank_National.xlsx
